5'_PARTNER_GENE 3'_PARTNER_GENE
TMPRSS2 ERG
TMPRSS2 ETV1
TMPRSS2 ETV1
TMPRSS2 ETV1
TMPRSS2 ETV1
TMPRSS2 ETV4
TMPRSS2 ETV5
TMPRSS2 ETV5
TP53BP1 PDGFRB
TP53BP1 PDGFRB
TPM3 ALK
TPM3 PDGFRB
TPM4 ALK
TPM4 ALK
TPM4 ALK
TPR NTRK1
TPR NTRK1
TPR NTRK1
TRIM24 FGFR1
TRIM24 FGFR1
TRIM24 FGFR1
TRIM27 RET
TRIM33 RET
TRIP11 PDGFRB
TRIP11 PDGFRB
VTI1A TCF7L2
WDR48 PDGFRB
WWTR1 CAMTA1
WWTR1 CAMTA1
ZBTB16 RARA
ZBTB16 RARA
ZBTB16 RARA
ZMIZ1 ABL1
ZMYM2 FGFR1
ZMYM2 FGFR1
ZMYM2 FGFR1
ZMYM2 FGFR1
ZMYM2 FGFR1
ZMYM2 FGFR1
RUNX1 KIAA1549L
RUNX1 KIAA1549L
YAP1 TFE3
GTF2I NCOA2
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
EWS FLI1
SLC44A1 PRKCA
NAB2 STAT6
NAB2 STAT6
NAB2 STAT6
NAB2 STAT6
NAB2 STAT6
NAB2 STAT6
NAB2 STAT6
NAB2 STAT6
NAB2 STAT6
CUX1 AGR3
FGFR3 BAIAP2L1
FGFR3 TACC3
FGFR3 TACC3
NABP1 RARA
